testcaseName;TC001_Baseline_valid_request;TC002_Full_request;TC003_Optional_parameter_sv_system;TC004_sv_system_maximum_string_length;TC005_sv_system_above_maximum_string_length;TC006_Optional_parameter_sv_txid;TC007_sv_txid_maximum_string_length;TC008_sv_txid_above_maximum_string_length;TC009_Missing_required_body_property_PuK_CA_ICC;TC010_Missing_required_body_property_PuK_SV;TC011_Missing_required_body_property_svnr
testcaseDescription;Baseline valid request;Full request;Optional parameter sv-system;sv-system maximum string length;sv-system above maximum string length;Optional parameter sv-txid;sv-txid maximum string length;sv-txid above maximum string length;Missing required body property PuK_CA_ICC;Missing required body property PuK_SV;Missing required body property svnr
apiEndpoint;/cps/v1/cards;/cps/v1/cards;/cps/v1/cards;/cps/v1/cards;/cps/v1/cards;/cps/v1/cards;/cps/v1/cards;/cps/v1/cards;/cps/v1/cards;/cps/v1/cards;/cps/v1/cards
statusCode;201;201;201;201;{NULL};201;201;{NULL};{NULL};{NULL};{NULL}
sv-system;{NULL};AAAA;AAAA;AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA;AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA;{NULL};{NULL};{NULL};{NULL};{NULL};{NULL}
sv-txid;{NULL};AAAA;{NULL};{NULL};{NULL};AAAA;AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA;AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA;{NULL};{NULL};{NULL}
svnr;1234020977;1234020977;1234020977;1234020977;1234020977;1234020977;1234020977;1234020977;1234020977;1234020977;{NULL}
PuK_SV;MHYwEAYHKoZIzj0CAQYFK4EEACIDYgAELmTKwvQOyfZF2wkArNzPV5Wa/grasO9C2RlTohlunphkwGlJW5cG0PyPVWUyUFhcV/qCcY7MY3E2zt3Ww2ibYeNLzrGlZzvxtkkLapvmOi27Du9dvuxRLkqksN+3VOba;MHYwEAYHKoZIzj0CAQYFK4EEACIDYgAELmTKwvQOyfZF2wkArNzPV5Wa/grasO9C2RlTohlunphkwGlJW5cG0PyPVWUyUFhcV/qCcY7MY3E2zt3Ww2ibYeNLzrGlZzvxtkkLapvmOi27Du9dvuxRLkqksN+3VOba;MHYwEAYHKoZIzj0CAQYFK4EEACIDYgAELmTKwvQOyfZF2wkArNzPV5Wa/grasO9C2RlTohlunphkwGlJW5cG0PyPVWUyUFhcV/qCcY7MY3E2zt3Ww2ibYeNLzrGlZzvxtkkLapvmOi27Du9dvuxRLkqksN+3VOba;MHYwEAYHKoZIzj0CAQYFK4EEACIDYgAELmTKwvQOyfZF2wkArNzPV5Wa/grasO9C2RlTohlunphkwGlJW5cG0PyPVWUyUFhcV/qCcY7MY3E2zt3Ww2ibYeNLzrGlZzvxtkkLapvmOi27Du9dvuxRLkqksN+3VOba;MHYwEAYHKoZIzj0CAQYFK4EEACIDYgAELmTKwvQOyfZF2wkArNzPV5Wa/grasO9C2RlTohlunphkwGlJW5cG0PyPVWUyUFhcV/qCcY7MY3E2zt3Ww2ibYeNLzrGlZzvxtkkLapvmOi27Du9dvuxRLkqksN+3VOba;MHYwEAYHKoZIzj0CAQYFK4EEACIDYgAELmTKwvQOyfZF2wkArNzPV5Wa/grasO9C2RlTohlunphkwGlJW5cG0PyPVWUyUFhcV/qCcY7MY3E2zt3Ww2ibYeNLzrGlZzvxtkkLapvmOi27Du9dvuxRLkqksN+3VOba;MHYwEAYHKoZIzj0CAQYFK4EEACIDYgAELmTKwvQOyfZF2wkArNzPV5Wa/grasO9C2RlTohlunphkwGlJW5cG0PyPVWUyUFhcV/qCcY7MY3E2zt3Ww2ibYeNLzrGlZzvxtkkLapvmOi27Du9dvuxRLkqksN+3VOba;MHYwEAYHKoZIzj0CAQYFK4EEACIDYgAELmTKwvQOyfZF2wkArNzPV5Wa/grasO9C2RlTohlunphkwGlJW5cG0PyPVWUyUFhcV/qCcY7MY3E2zt3Ww2ibYeNLzrGlZzvxtkkLapvmOi27Du9dvuxRLkqksN+3VOba;MHYwEAYHKoZIzj0CAQYFK4EEACIDYgAELmTKwvQOyfZF2wkArNzPV5Wa/grasO9C2RlTohlunphkwGlJW5cG0PyPVWUyUFhcV/qCcY7MY3E2zt3Ww2ibYeNLzrGlZzvxtkkLapvmOi27Du9dvuxRLkqksN+3VOba;{NULL};MHYwEAYHKoZIzj0CAQYFK4EEACIDYgAELmTKwvQOyfZF2wkArNzPV5Wa/grasO9C2RlTohlunphkwGlJW5cG0PyPVWUyUFhcV/qCcY7MY3E2zt3Ww2ibYeNLzrGlZzvxtkkLapvmOi27Du9dvuxRLkqksN+3VOba
PuK_CA_ICC;MFkwEwYHKoZIzj0CAQYIKoZIzj0DAQcDQgAElrlAbw8gVM/A9peOAdiHhtqgHs2TtBbktA+L5GwralsyCSi32R9OMud0gC9KPSY+JUjvOCRTr0o+OrytqZ9hKg==;MFkwEwYHKoZIzj0CAQYIKoZIzj0DAQcDQgAElrlAbw8gVM/A9peOAdiHhtqgHs2TtBbktA+L5GwralsyCSi32R9OMud0gC9KPSY+JUjvOCRTr0o+OrytqZ9hKg==;MFkwEwYHKoZIzj0CAQYIKoZIzj0DAQcDQgAElrlAbw8gVM/A9peOAdiHhtqgHs2TtBbktA+L5GwralsyCSi32R9OMud0gC9KPSY+JUjvOCRTr0o+OrytqZ9hKg==;MFkwEwYHKoZIzj0CAQYIKoZIzj0DAQcDQgAElrlAbw8gVM/A9peOAdiHhtqgHs2TtBbktA+L5GwralsyCSi32R9OMud0gC9KPSY+JUjvOCRTr0o+OrytqZ9hKg==;MFkwEwYHKoZIzj0CAQYIKoZIzj0DAQcDQgAElrlAbw8gVM/A9peOAdiHhtqgHs2TtBbktA+L5GwralsyCSi32R9OMud0gC9KPSY+JUjvOCRTr0o+OrytqZ9hKg==;MFkwEwYHKoZIzj0CAQYIKoZIzj0DAQcDQgAElrlAbw8gVM/A9peOAdiHhtqgHs2TtBbktA+L5GwralsyCSi32R9OMud0gC9KPSY+JUjvOCRTr0o+OrytqZ9hKg==;MFkwEwYHKoZIzj0CAQYIKoZIzj0DAQcDQgAElrlAbw8gVM/A9peOAdiHhtqgHs2TtBbktA+L5GwralsyCSi32R9OMud0gC9KPSY+JUjvOCRTr0o+OrytqZ9hKg==;MFkwEwYHKoZIzj0CAQYIKoZIzj0DAQcDQgAElrlAbw8gVM/A9peOAdiHhtqgHs2TtBbktA+L5GwralsyCSi32R9OMud0gC9KPSY+JUjvOCRTr0o+OrytqZ9hKg==;{NULL};MFkwEwYHKoZIzj0CAQYIKoZIzj0DAQcDQgAElrlAbw8gVM/A9peOAdiHhtqgHs2TtBbktA+L5GwralsyCSi32R9OMud0gC9KPSY+JUjvOCRTr0o+OrytqZ9hKg==;MFkwEwYHKoZIzj0CAQYIKoZIzj0DAQcDQgAElrlAbw8gVM/A9peOAdiHhtqgHs2TtBbktA+L5GwralsyCSi32R9OMud0gC9KPSY+JUjvOCRTr0o+OrytqZ9hKg==
force;{NULL};true;{NULL};{NULL};{NULL};{NULL};{NULL};{NULL};{NULL};{NULL};{NULL}
